Name,Location,Locality,City,Cuisine,Rating,Votes,Cost,popularity_score
Murugan Idli Shop,"Besant Nagar, South Chennai", South Chennai,Chennai,South Indian,3.3,8,300,10.460752504759629
Copper Kitchen,"Porur, West Chennai", West Chennai,Chennai,"North Indian,  Chinese,  Seafood",4.0,27,1100,19.229419688230415
Cafe G,"Holiday Inn,Thiruvanmiyur, South Chennai", South Chennai,Chennai,"North Indian,  Continental",4.2,215,1600,32.57052750908657
Lucky Da Punjabi Dhabba,"Perungudi, South West Chennai", South West Chennai,Chennai,"North Indian,  Chinese,  Mughlai,  Fast Food",4.9,8,1400,15.53263250706733
Dindigul Thalappakatti,"Mogappair, West Chennai", West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",4.1,15,700,16.4
Dindigul Thalappakatti,"Velachery, South West Chennai", South West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",3.6,27,700,17.306477719407376
Waf Bites,"Mogappair, West Chennai", West Chennai,Chennai,"Desserts,  Waffle",3.9,13,300,14.848684196024657
Murugan Idli Shop,"Nanganallur, South West Chennai", South West Chennai,Chennai,South Indian,5.0,1,300,5.0
MilkyWay,"Velachery, South West Chennai", South West Chennai,Chennai,"Ice Cream,  Desserts,  Fast Food",3.8,8,400,12.045715005480785
Hotel Saravana Bhavan,"Anna Salai, Central Chennai", Central Chennai,Chennai,"South Indian,  North Indian,  Chinese",1.0,1,600,1.0
Chop N Stix,"Porur, West Chennai", West Chennai,Chennai,Chinese,4.4,22,500,19.903672606650858
The Madras Diner,"Mogappair, West Chennai", West Chennai,Chennai,"North Indian,  Chinese",4.4,184,700,33.138078426271775
The Madras Bakery,"Mogappair, West Chennai", West Chennai,Chennai,"Desserts,  Bakery and Confectionary",4.6,3,400,9.2
Masaledar Urban Rasoi,"Perungudi, South West Chennai", South West Chennai,Chennai,"North Indian,  Chinese",4.2,41,500,22.647733175670798
Bistro 1427,"Grand Arcade,Velachery, South West Chennai", South West Chennai,Chennai,"Fast Food,  North Indian,  Chinese,  Pizza",3.7,65,1000,22.364258241626278
Ammavin Aduppankarai,"Perambur, North Chennai", North Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Fast Food",3.9,18,600,16.56691730242998
Murugan Idli Shop,"Perambur, North Chennai", North Chennai,Chennai,South Indian,3.0,2,300,4.754887502163468
La Chocolate,"Thiruvanmiyur, South Chennai", South Chennai,Chennai,"Desserts,  Bakery and Confectionary,  Fast Food",3.9,19,700,16.855519570060714
11 O Cafe,"Perungudi, South West Chennai", South West Chennai,Chennai,"Fast Food,  Coffee,  Pizza,  Drinks",3.8,13,400,14.467948703818895
Mr.Papdi,"Grand Arcade,Velachery, South West Chennai", South West Chennai,Chennai,"North Indian,  Chinese,  Chaat",3.1,3,600,6.2
Juice'r rus,"Thiruvanmiyur, South Chennai", South Chennai,Chennai,"Juice,  Shakes,  Desserts",4.0,3,300,8.0
Pizza Avenue,"Thiruvanmiyur, South Chennai", South Chennai,Chennai,"Italian,  Fast Food,  Pizza",3.5,10,700,12.108010665230541
Dindigul Thalappakatti,"Parrys, North Chennai", North Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",4.4,18,700,18.690881059151778
Dhaba In The City,"Perungudi, South West Chennai", South West Chennai,Chennai,"North Indian,  Chinese,  Seafood",4.1,108,500,27.749555731585396
Hotel Saravana Bhavan,"George Town, North Chennai", North Chennai,Chennai,"South Indian,  North Indian,  Chinese",3.4,2,600,5.388872502451931
Pedreno's,"Old Mahabalipuram Road OMR, South West Chennai", South West Chennai,Chennai,"Continental,  Mexican,  Italian",3.5,2,1500,5.547368752524046
Alien Stone,"Perungudi, South West Chennai", South West Chennai,Chennai,"Fast Food,  Drinks",4.0,1,800,4.0
Murugan Idli Shop,"Park Town, North Chennai", North Chennai,Chennai,South Indian,1.0,1,300,1.0
Makers Of Milkshakes,"Perambur, North Chennai", North Chennai,Chennai,"Shakes,  Waffle,  Fast Food",2.9,4,300,6.73359147517335
Brownie Heaven,"Thiruvanmiyur, South Chennai", South Chennai,Chennai,Desserts,3.0,2,400,4.754887502163468
Flavours,"V7 Hotel,Porur, West Chennai", West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian",4.3,14,1500,16.799629561116628
Murugan Idli Shop,"Ambattur, North Chennai", North Chennai,Chennai,South Indian,2.8,1,300,2.8
Hotel Saravana Bhavan,"Perungudi, South West Chennai", South West Chennai,Chennai,"South Indian,  North Indian,  Chinese",3.6,6,600,10.106477719407374
Murugan Idli Shop,"Porur, West Chennai", West Chennai,Chennai,South Indian,2.0,2,300,3.169925001442312
Topi Vappa Biriyani,"Madipakkam, South West Chennai", South West Chennai,Chennai,"Chinese,  Biryani,  Arabian",3.5,14,400,13.674117084629815
Dindigul Thalappakatti,"Perambur, North Chennai", North Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",2.5,3,700,5.0
Chaat Chatore,"Porur, West Chennai", West Chennai,Chennai,"Fast Food,  Street Food",4.6,18,300,19.54046656184049
Dosa.in,"Maduravoyal, West Chennai", West Chennai,Chennai,South Indian,5.0,1,300,5.0
Double Roti,"Neelankarai, South Chennai", South Chennai,Chennai,"Fast Food,  Italian,  American",4.4,47,1000,24.573835003173087
Mr.Burger,"Iyyapanthangal, West Chennai", West Chennai,Chennai,"Fast Food,  Burger",4.2,8,400,13.313685006057712
The Bench Cafe,"Kolathur, North Chennai", North Chennai,Chennai,"North Indian,  Chinese,  Continental,  Fast Food",5.0,9,500,16.609640474436812
Madras Coffee House,"Velachery, South West Chennai", South West Chennai,Chennai,"Street Food,  Coffee,  Desserts",1.0,1,200,1.0
Pind,"MRK Arcade,Thuraipakkam, South West Chennai", South West Chennai,Chennai,"North Indian,  Chinese",4.5,139,900,32.081773576252345
Bhatinda Xpress,"Thuraipakkam, South West Chennai", South West Chennai,Chennai,"North Indian,  Chinese,  Mughlai",4.3,108,1200,29.10319259654078
Rasavid,"Thuraipakkam, South West Chennai", South West Chennai,Chennai,"North Indian,  Chinese,  Hyderabadi",3.9,137,900,27.723245381434857
Kake Da Punjabi Dhabba,"Perungudi, South West Chennai", South West Chennai,Chennai,"North Indian,  Chinese,  Mughlai,  Seafood",3.5,13,700,13.325742227201614
Old Madras Bites,"Madipakkam, South West Chennai", South West Chennai,Chennai,"Chinese,  Fast Food,  Shakes",3.3,12,500,12.211451069865603
Oasis,"Park Plaza Chennai,Thuraipakkam, South West Chennai", South West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian",5.0,3,1500,10.0
Dindigul Thalappakatti,"Old Mahabalipuram Road OMR, South West Chennai", South West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",5.0,2,700,7.92481250360578
Guru Mess,"Pallikaranai, South West Chennai", South West Chennai,Chennai,South Indian,3.7,34,500,18.978347162696377
